Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Quarter,Is_month_end,Day_sin,day_cos,Month_sin,Month_cos,Lag_1,Rolling_4,Rolling_12,Fuel_Change,CPI_Change,Unemployment_Rel,Month,Week,Is_Thanksgiving,Is_Christmas
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1641957.44,1574709.065,1574709.065,0.006671899529042458,0.0011977741008792897,1.0078823727365682,9,36,0,0
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,1507460.69,1701680.7466666668,1701680.7466666668,0.06627680311890827,0.0011973941334577631,1.014483374535665,11,47,1,0
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,4,1,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1955624.11,1618090.5625,1618090.5625,0.07605118829981716,-0.0016222136553583066,1.014483374535665,12,52,0,1
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1367320.01,1620004.935,1624395.436,0.02684335711858643,0.007245680054784431,1.0020579593844243,2,6,0,0
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1649614.93,1628257.5725,1610408.07,0.17339510258107205,0.013733430342567576,1.0305328691060172,9,36,0,0
1,2011-11-25,2033320.66,1,60.14,3.236,218.4676211,7.866,2011,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,1540471.24,1647681.71,1670824.1542857143,-0.08742244782853914,0.012075198501762197,1.0181074539547768,11,47,1,0
1,2011-12-30,1497462.72,1,44.55,3.129,219.5359898,7.866,2011,4,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,2033320.66,1680217.3875,1649153.975,-0.03306551297898641,0.0048902839451479,1.0181074539547768,12,52,0,1
1,2012-02-10,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1497462.72,1718433.0125,1666189.9144444445,0.08948545861297541,0.003321498678482193,0.9510619847012076,2,6,0,0
1,2012-09-07,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1802477.43,1748757.035,1665747.656,0.09416251100029349,0.00986918139661297,0.8941121652580216,9,36,0,0
2,2010-09-10,1839128.83,1,79.09,2.565,211.1532104,8.099,2010,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2137809.5,1988469.165,1988469.165,0.006671899529042458,0.0012101438034781697,1.0500045376168436,9,36,0,0
2,2010-11-26,2658725.29,1,62.98,2.735,211.4062867,8.163,2010,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,1839128.83,2211887.8733333335,2211887.8733333335,0.06627680311890827,0.0011985434629224745,1.0583018941309168,11,47,1,0
2,2010-12-31,1750434.55,1,47.3,2.943,211.064774,8.163,2010,4,1,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,2658725.29,2096524.5425,2096524.5425,0.07605118829981716,-0.0016154330381131787,1.0583018941309168,12,52,0,1
2,2011-02-11,2168041.61,1,33.19,3.022,212.5928624,8.028,2011,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1750434.55,2104082.5700000003,2110827.9560000002,0.02684335711858643,0.007239902571331003,1.040799657734044,2,6,0,0
2,2011-09-09,1748000.65,1,77.97,3.546,215.5148295,7.852,2011,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2168041.61,2081300.525,2050356.7383333333,0.17339510258107205,0.013744427103588253,1.017981927320343,9,36,0,0
2,2011-11-25,2614202.3,1,56.36,3.236,218.1130269,7.441,2011,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,1748000.65,2070169.7774999999,2130906.104285714,-0.08742244782853914,0.01205577085357823,0.9646973409565297,11,47,1,0
2,2011-12-30,1874226.52,1,44.57,3.129,219.1773063,7.441,2011,4,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,2614202.3,2101117.77,2098821.15625,-0.03306551297898641,0.004879485719520682,0.9646973409565297,12,52,0,1
2,2012-02-10,2103322.68,1,46.98,3.409,219.9049073,7.057,2012,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1874226.52,2084938.0375,2099321.3255555555,0.08948545861297541,0.003319691314227935,0.9149132018720912,2,6,0,0
2,2012-09-07,1898777.07,1,87.65,3.73,222.0747635,6.565,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2103322.68,2122632.1425,2079266.9,0.09416251100029349,0.00986724774195169,0.8511272736701543,9,36,0,0
3,2010-09-10,352260.97,1,80.84,2.565,214.8065431,7.346,2010,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,420728.96,386494.96499999997,386494.96499999997,0.006671899529042458,0.0010800499829077825,1.0129479736903793,9,36,0,0
3,2010-11-26,565567.84,1,68.71,2.735,215.0614025,7.564,2010,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,352260.97,446185.92333333334,446185.92333333334,0.06627680311890827,0.0011864601344167003,1.0430082320982887,11,47,1,0
3,2010-12-31,382677.76,1,53.2,2.943,214.6986466,7.564,2010,4,1,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,565567.84,430308.8825,430308.8825,0.07605118829981716,-0.0016867550187208424,1.0430082320982887,12,52,0,1
3,2011-02-11,430526.21,1,43.57,3.022,216.2660913,7.551,2011,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,382677.76,432758.195,430352.34800000006,0.02684335711858643,0.007300673408157543,1.0412156478813033,2,6,0,0
3,2011-09-09,377347.49,1,81.72,3.546,219.2135305,7.567,2011,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,430526.21,439029.825,421518.205,0.17339510258107205,0.013628762522513771,1.0434219053791316,9,36,0,0
3,2011-11-25,556925.19,1,68.0,3.236,221.9011185,7.197,2011,4,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,377347.49,436869.1625,440862.06,-0.08742244782853914,0.0122601373823501,0.992402200741854,11,47,1,0
3,2011-12-30,410553.88,1,48.29,3.129,223.0090839,7.197,2011,4,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,556925.19,443838.1925,437073.5375,-0.03306551297898641,0.004993059104386743,0.992402200741854,12,52,0,1
3,2012-02-10,473292.47,1,51.65,3.409,223.753643,6.833,2012,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,410553.88,454529.75749999995,441097.86333333334,0.08948545861297541,0.0033386940432160728,0.9422098426662622,2,6,0,0
3,2012-09-07,408229.73,1,84.99,3.73,225.9660263,6.334,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,473292.47,462250.3175,437811.05,0.09416251100029349,0.009887585606818572,0.8734021869527446,9,36,0,0
4,2010-09-10,1865820.81,1,73.54,2.574,126.1145806,7.372,2010,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2188307.39,2027064.1,2027064.1,0.0003886513797124458,-0.003017302691264434,1.2010671445736512,9,36,0,0
4,2010-12-31,1794868.74,1,38.09,2.955,127.0876774,7.127,2010,4,1,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1865820.81,1949665.6466666667,1949665.6466666667,0.14801864801864806,0.0077159738023186986,1.1611510498340223,12,52,0,1
4,2011-02-11,2187847.29,1,33.29,3.033,127.859129,6.51,2011,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1794868.74,2009211.0575,2009211.0575,0.02639593908629445,0.006070231322049313,1.0606276602244262,2,6,0,0
4,2011-09-09,2093139.01,1,73.34,3.554,129.3686129,5.644,2011,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2187847.29,1985418.9625,2025996.648,0.17177711836465548,0.011805835936830045,0.9195364845325132,9,36,0,0
4,2011-12-30,2007105.86,1,36.89,3.119,130.0710323,5.143,2011,4,0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,2093139.01,2020740.225,2022848.1833333336,-0.12239729881823291,0.005429596748810939,0.8379121438608639,12,52,0,1
4,2012-02-10,2374660.64,1,33.0,3.411,130.3849032,4.607,2012,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,2007105.86,2165688.2,2073107.1057142857,0.09361974991984612,0.0024130730297893255,0.7505855039406961,2,6,0,0
4,2012-09-07,2125104.72,1,82.09,3.709,130.9325484,4.077,2012,3,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,2374660.64,2150002.5575,2079606.8075,0.08736440926414546,0.004200219400860794,0.6642364010345599,9,36,0,0
